ID,StartedAt_Timestamp,FinishedAt_Timestamp,Length,Mode,Geometry3_JSON,CO2_kg
163,2024-11-18 10:53:58,2024-11-18 10:54:57,82,walk,"{""coordinates"":{},""type"":""LineString""}",0.01
163,2024-11-18 11:10:50,2024-11-18 11:12:44,159,walk,"{""coordinates"":{""V1"":[9.2115,49.1225],""V2"":[9.2115,49.1235]},""type"":""LineString""}",0.02
163,2024-11-18 11:22:45,2024-11-18 11:23:35,83,walk,"{""coordinates"":{},""type"":""LineString""}",0.01
163,2024-11-18 12:31:18,2024-11-18 12:39:32,1972,car,"{""coordinates"":{""V10"":[9.2185,49.1245],""V11"":[9.2175,49.1255],""V12"":[9.2175,49.1265],""V13"":[9.2175,49.1265],""V14"":[9.2175,49.1275],""V15"":[9.2175,49.1275],""V16"":[9.2195,49.1275],""V17"":[9.2205,49.1275],""V18"":[9.2215,49.1275],""V19"":[9.2225,49.1275],""V20"":[9.2225,49.1285],""V21"":[9.2225,49.1285],""V22"":[9.2225,49.1295],""V23"":[9.2225,49.1295],""V24"":[9.2225,49.1295],""V25"":[9.2225,49.1295],""V26"":[9.2225,49.1295],""V27"":[9.2225,49.1295]},""type"":""LineString""}",0.24
163,2024-11-18 12:55:07,2024-11-18 13:04:53,2026,bicycle,"{""coordinates"":{""V1"":[9.2225,49.1295],""V2"":[9.2225,49.1305],""V3"":[9.2225,49.1305],""V4"":[9.2225,49.1315],""V5"":[9.2225,49.1315],""V6"":[9.2225,49.1325],""V7"":[9.2225,49.1325],""V8"":[9.2225,49.1325],""V9"":[9.2225,49.1325],""V10"":[9.2225,49.1335],""V11"":[9.2225,49.1335],""V12"":[9.2225,49.1335],""V13"":[9.2225,49.1345],""V14"":[9.2235,49.1345],""V15"":[9.2235,49.1345],""V16"":[9.2235,49.1345],""V17"":[9.2235,49.1345],""V18"":[9.2235,49.1355],""V19"":[9.2235,49.1355],""V20"":[9.2235,49.1355],""V21"":[9.2235,49.1365],""V22"":[9.2235,49.1365],""V23"":[9.2235,49.1365],""V24"":[9.2235,49.1375],""V25"":[9.2235,49.1385],""V26"":[9.2235,49.1385],""V27"":[9.2235,49.1395],""V28"":[9.2235,49.1395],""V29"":[9.2235,49.1395],""V30"":[9.2235,49.1395],""V31"":[9.2225,49.1405],""V32"":[9.2215,49.1405],""V33"":[9.2225,49.1405],""V34"":[9.2225,49.1415],""V35"":[9.2225,49.1415],""V36"":[9.2225,49.1415],""V37"":[9.2225,49.1425],""V38"":[9.2225,49.1425],""V39"":[9.2225,49.1435],""V40"":[9.2225,49.1435],""V41"":[9.2225,49.1435],""V42"":[9.2235,49.1445],""V43"":[9.2235,49.1445],""V44"":[9.2235,49.1445],""V45"":[9.2235,49.1455],""V46"":[9.2235,49.1455],""V47"":[9.2235,49.1455],""V48"":[9.2225,49.1455],""V49"":[9.2225,49.1455],""V50"":[9.2215,49.1455],""V51"":[9.2215,49.1455],""V52"":[9.2215,49.1455]},""type"":""LineString""}",0.24
163,2024-11-18 13:04:53,2024-11-18 13:06:45,100,walk,"{""coordinates"":{},""type"":""LineString""}",0.01
